@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C382-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute inputs-106 numeric
@attribute inputs-107 numeric
@attribute inputs-108 numeric
@attribute inputs-109 numeric
@attribute inputs-110 numeric
@attribute inputs-111 numeric
@attribute inputs-112 numeric
@attribute inputs-113 numeric
@attribute inputs-114 numeric
@attribute inputs-115 numeric
@attribute inputs-116 numeric
@attribute inputs-117 numeric
@attribute inputs-118 numeric
@attribute inputs-119 numeric
@attribute inputs-120 numeric
@attribute inputs-121 numeric
@attribute inputs-122 numeric
@attribute inputs-123 numeric
@attribute inputs-124 numeric
@attribute inputs-125 numeric
@attribute inputs-126 numeric
@attribute inputs-127 numeric
@attribute inputs-128 numeric
@attribute inputs-129 numeric
@attribute inputs-130 numeric
@attribute inputs-131 numeric
@attribute inputs-132 numeric
@attribute inputs-133 numeric
@attribute inputs-134 numeric
@attribute inputs-135 numeric
@attribute inputs-136 numeric
@attribute inputs-137 numeric
@attribute inputs-138 numeric
@attribute inputs-139 numeric
@attribute inputs-140 numeric
@attribute inputs-141 numeric
@attribute inputs-142 numeric
@attribute inputs-143 numeric
@attribute inputs-144 numeric
@attribute inputs-145 numeric
@attribute inputs-146 numeric
@attribute inputs-147 numeric
@attribute inputs-148 numeric
@attribute inputs-149 numeric
@attribute inputs-150 numeric
@attribute inputs-151 numeric
@attribute inputs-152 numeric
@attribute inputs-153 numeric
@attribute inputs-154 numeric
@attribute inputs-155 numeric
@attribute inputs-156 numeric
@attribute inputs-157 numeric
@attribute inputs-158 numeric
@attribute inputs-159 numeric
@attribute inputs-160 numeric
@attribute inputs-161 numeric
@attribute inputs-162 numeric
@attribute inputs-163 numeric
@attribute inputs-164 numeric
@attribute inputs-165 numeric
@attribute inputs-166 numeric
@attribute inputs-167 numeric
@attribute inputs-168 numeric
@attribute inputs-169 numeric
@attribute inputs-170 numeric
@attribute inputs-171 numeric
@attribute inputs-172 numeric
@attribute inputs-173 numeric
@attribute inputs-174 numeric
@attribute inputs-175 numeric
@attribute inputs-176 numeric
@attribute inputs-177 numeric
@attribute inputs-178 numeric
@attribute inputs-179 numeric
@attribute inputs-180 numeric
@attribute inputs-181 numeric
@attribute inputs-182 numeric
@attribute inputs-183 numeric
@attribute inputs-184 numeric
@attribute inputs-185 numeric
@attribute inputs-186 numeric
@attribute inputs-187 numeric
@attribute inputs-188 numeric
@attribute inputs-189 numeric
@attribute inputs-190 numeric
@attribute inputs-191 numeric
@attribute inputs-192 numeric
@attribute inputs-193 numeric
@attribute inputs-194 numeric
@attribute inputs-195 numeric
@attribute inputs-196 numeric
@attribute inputs-197 numeric
@attribute inputs-198 numeric
@attribute inputs-199 numeric
@attribute inputs-200 numeric
@attribute inputs-201 numeric
@attribute inputs-202 numeric
@attribute inputs-203 numeric
@attribute inputs-204 numeric
@attribute inputs-205 numeric
@attribute inputs-206 numeric
@attribute inputs-207 numeric
@attribute inputs-208 numeric
@attribute inputs-209 numeric
@attribute inputs-210 numeric
@attribute inputs-211 numeric
@attribute inputs-212 numeric
@attribute inputs-213 numeric
@attribute inputs-214 numeric
@attribute inputs-215 numeric
@attribute inputs-216 numeric
@attribute inputs-217 numeric
@attribute inputs-218 numeric
@attribute inputs-219 numeric
@attribute inputs-220 numeric
@attribute inputs-221 numeric
@attribute inputs-222 numeric
@attribute inputs-223 numeric
@attribute inputs-224 numeric
@attribute inputs-225 numeric
@attribute inputs-226 numeric
@attribute inputs-227 numeric
@attribute inputs-228 numeric
@attribute inputs-229 numeric
@attribute inputs-230 numeric
@attribute inputs-231 numeric
@attribute inputs-232 numeric
@attribute inputs-233 numeric
@attribute inputs-234 numeric
@attribute inputs-235 numeric
@attribute inputs-236 numeric
@attribute inputs-237 numeric
@attribute inputs-238 numeric
@attribute inputs-239 numeric
@attribute inputs-240 numeric
@attribute inputs-241 numeric
@attribute inputs-242 numeric
@attribute inputs-243 numeric
@attribute inputs-244 numeric
@attribute inputs-245 numeric
@attribute inputs-246 numeric
@attribute inputs-247 numeric
@attribute inputs-248 numeric
@attribute inputs-249 numeric
@attribute inputs-250 numeric
@attribute inputs-251 numeric
@attribute inputs-252 numeric
@attribute inputs-253 numeric
@attribute inputs-254 numeric
@attribute inputs-255 numeric
@attribute inputs-256 numeric
@attribute inputs-257 numeric
@attribute inputs-258 numeric
@attribute inputs-259 numeric
@attribute inputs-260 numeric
@attribute inputs-261 numeric
@attribute inputs-262 numeric
@attribute inputs-263 numeric
@attribute inputs-264 numeric
@attribute inputs-265 numeric
@attribute inputs-266 numeric
@attribute inputs-267 numeric
@attribute inputs-268 numeric
@attribute inputs-269 numeric
@attribute inputs-270 numeric
@attribute inputs-271 numeric
@attribute inputs-272 numeric
@attribute inputs-273 numeric
@attribute inputs-274 numeric
@attribute inputs-275 numeric
@attribute inputs-276 numeric
@attribute inputs-277 numeric
@attribute inputs-278 numeric
@attribute inputs-279 numeric
@attribute inputs-280 numeric
@attribute inputs-281 numeric
@attribute inputs-282 numeric
@attribute inputs-283 numeric
@attribute inputs-284 numeric
@attribute inputs-285 numeric
@attribute inputs-286 numeric
@attribute inputs-287 numeric
@attribute inputs-288 numeric
@attribute inputs-289 numeric
@attribute inputs-290 numeric
@attribute inputs-291 numeric
@attribute inputs-292 numeric
@attribute inputs-293 numeric
@attribute inputs-294 numeric
@attribute inputs-295 numeric
@attribute inputs-296 numeric
@attribute inputs-297 numeric
@attribute inputs-298 numeric
@attribute inputs-299 numeric
@attribute inputs-300 numeric
@attribute inputs-301 numeric
@attribute inputs-302 numeric
@attribute inputs-303 numeric
@attribute inputs-304 numeric
@attribute inputs-305 numeric
@attribute inputs-306 numeric
@attribute inputs-307 numeric
@attribute inputs-308 numeric
@attribute inputs-309 numeric
@attribute inputs-310 numeric
@attribute inputs-311 numeric
@attribute inputs-312 numeric
@attribute inputs-313 numeric
@attribute inputs-314 numeric
@attribute inputs-315 numeric
@attribute inputs-316 numeric
@attribute inputs-317 numeric
@attribute inputs-318 numeric
@attribute inputs-319 numeric
@attribute inputs-320 numeric
@attribute inputs-321 numeric
@attribute inputs-322 numeric
@attribute inputs-323 numeric
@attribute inputs-324 numeric
@attribute inputs-325 numeric
@attribute inputs-326 numeric
@attribute inputs-327 numeric
@attribute inputs-328 numeric
@attribute inputs-329 numeric
@attribute inputs-330 numeric
@attribute inputs-331 numeric
@attribute inputs-332 numeric
@attribute inputs-333 numeric
@attribute inputs-334 numeric
@attribute inputs-335 numeric
@attribute inputs-336 numeric
@attribute inputs-337 numeric
@attribute inputs-338 numeric
@attribute inputs-339 numeric
@attribute inputs-340 numeric
@attribute inputs-341 numeric
@attribute inputs-342 numeric
@attribute inputs-343 numeric
@attribute inputs-344 numeric
@attribute inputs-345 numeric
@attribute inputs-346 numeric
@attribute inputs-347 numeric
@attribute inputs-348 numeric
@attribute inputs-349 numeric
@attribute inputs-350 numeric
@attribute inputs-351 numeric
@attribute inputs-352 numeric
@attribute inputs-353 numeric
@attribute inputs-354 numeric
@attribute inputs-355 numeric
@attribute inputs-356 numeric
@attribute inputs-357 numeric
@attribute inputs-358 numeric
@attribute inputs-359 numeric
@attribute inputs-360 numeric
@attribute inputs-361 numeric
@attribute inputs-362 numeric
@attribute inputs-363 numeric
@attribute inputs-364 numeric
@attribute inputs-365 numeric
@attribute inputs-366 numeric
@attribute inputs-367 numeric
@attribute inputs-368 numeric
@attribute inputs-369 numeric
@attribute inputs-370 numeric
@attribute inputs-371 numeric
@attribute inputs-372 numeric
@attribute inputs-373 numeric
@attribute inputs-374 numeric
@attribute inputs-375 numeric
@attribute inputs-376 numeric
@attribute inputs-377 numeric
@attribute inputs-378 numeric
@attribute outputs-1 {0,1,2}

@data
941,'2019/01/25 16:27:28:785',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,144,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,24,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,25,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,95,172,172,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,172,0,0,0,161,172,162,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,172,0,0,0,69,172,69,69,69,69,69,172,69,69,69,69,69,69,69,69,69,69,69,69,69,86,69,172,73,69,69,37,92,49,21,73,54,75,172,18,49,46,24,73,37,61,12,49,73,54,43,43,18,80,172,46,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
942,'2019/01/25 16:27:28:873',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,144,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,16,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,2,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,95,172,172,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,172,0,0,0,0,161,172,162,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,172,0,0,0,0,69,172,69,69,69,69,172,69,69,69,80,69,69,69,69,69,69,69,69,69,92,69,172,69,69,69,69,49,101,21,73,64,63,172,18,49,55,24,67,43,49,24,49,73,64,49,55,18,67,172,37,49,67,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
943,'2019/01/25 16:27:28:909',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,144,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,22,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,22,0,0,0,0,161,172,172,0,117,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,22,172,4,0,117,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,69,104,69,69,69,172,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,161,69,69,69,69,88,12,37,43,43,43,172,14,24,37,24,49,43,64,67,37,43,43,28,67,24,73,166,69,31,80,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
944,'2019/01/25 16:27:29:026',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,116,87,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,0,0,161,172,167,0,0,0,0,0,0,0,0,0,0,0,0,17,20,22,0,0,0,0,0,0,0,0,0,31,172,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,139,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,161,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,69,69,69,172,69,69,69,80,69,69,69,69,69,69,69,69,69,69,69,172,139,69,69,69,89,115,110,43,54,24,172,27,0,46,9,37,37,69,55,24,16,54,18,49,73,69,172,139,31,92,49,43,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
945,'2019/01/25 16:27:29:141',3,0,154,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,78,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,131,92,161,172,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,172,16,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,20,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,161,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,69,139,172,69,69,69,92,69,69,69,69,69,69,69,69,73,69,69,172,69,69,69,91,95,108,69,69,28,155,172,18,49,55,24,49,60,43,37,12,55,64,49,73,18,64,172,50,43,86,18,49,24,73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
946,'2019/01/25 16:27:29:258',3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,107,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,155,92,161,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,172,95,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,11,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,117,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,117,0,0,0,0,0,0,0,0,0,161,69,69,69,86,69,69,69,69,69,69,69,69,69,86,69,172,69,69,69,69,106,92,93,69,73,69,166,18,49,55,24,61,43,50,43,49,67,64,24,61,24,61,172,41,49,73,18,49,0,61,24,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
947,'2019/01/25 16:27:29:374',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,156,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,16,20,21,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,172,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,172,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,172,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,172,69,73,69,69,89,110,115,69,69,69,69,69,0,43,12,67,0,50,73,49,21,61,37,49,24,92,172,60,49,61,43,37,0,49,24,24,18,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
948,'2019/01/25 16:27:29:489',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,161,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,21,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,161,172,162,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,69,172,69,69,69,69,69,69,69,69,69,69,69,172,69,69,69,87,115,117,69,69,69,69,69,69,69,32,92,55,60,73,43,0,49,37,37,61,55,80,172,69,73,49,24,24,24,61,24,18,49,55,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
949,'2019/01/25 16:27:29:604',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,155,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,16,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,0,0,0,25,172,2,0,0,0,0,0,0,0,0,0,0,0,0,172,75,161,172,162,0,0,0,0,0,0,0,25,172,2,0,0,0,0,0,0,0,0,0,0,0,0,172,159,69,172,69,69,69,69,69,69,69,69,69,172,69,69,69,81,89,119,69,69,69,69,69,69,69,172,69,43,101,69,61,31,37,48,49,73,9,67,172,64,24,86,18,37,0,73,24,21,24,67,67,23,172,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
950,'2019/01/25 16:27:29:721',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,107,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,167,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,23,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,0,0,172,150,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,161,172,162,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,139,172,0,0,69,172,69,69,69,69,69,69,69,172,69,69,69,69,90,112,108,69,73,69,69,69,69,139,172,69,69,64,101,31,49,59,23,73,24,69,172,55,37,92,49,49,0,73,0,24,24,37,73,55,18,150,92,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
951,'2019/01/25 16:27:29:838',3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,80,92,107,115,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,122,138,139,148,155,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,21,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,94,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,172,172,0,0,0,0,117,172,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,161,172,162,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,69,172,69,69,69,86,69,108,172,73,69,69,93,99,98,69,69,69,69,69,69,69,172,69,69,69,69,49,92,73,54,43,43,41,131,172,49,55,24,49,0,49,43,12,24,49,49,80,24,150,49,55,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
